,사업장명,업태구분명,지번주소,좌표정보(X),좌표정보(Y),네이버_별점,방문자리뷰수,블로그리뷰수,대표메뉴_메뉴,대표메뉴_가격,음식이 맛있어요_비율,혼밥하기 좋아요_비율,재료가 신선해요_비율,특별한 메뉴가 있어요_비율,친절해요_비율,양이 많아요_비율,매장이 청결해요_비율,가성비가 좋아요_비율,인테리어가 멋져요_비율,건강한 맛이에요_비율,아늑해요_비율,메뉴 구성이 알차요_비율,차분한 분위기예요_비율,매장이 넓어요_비율,뷰가 좋아요_비율,음악이 좋아요_비율,특별한 날 가기 좋아요_비율,비싼 만큼 가치있어요_비율,단체모임 하기 좋아요_비율,화장실이 깨끗해요_비율,반찬이 잘 나와요_비율,주차하기 편해요_비율,대화하기 좋아요_비율,컨셉이 독특해요_비율,음식이 빨리 나와요_비율,좌석이 편해요_비율,사진이 잘 나와요_비율,집중하기 좋아요_비율,혼술하기 좋아요_비율,잡내가 적어요_비율,야외공간이 멋져요_비율,기본 안주가 좋아요_비율,향신료가 강하지 않아요_비율,환기가 잘 돼요_비율,술이 다양해요_비율,고기 질이 좋아요_비율,음료가 맛있어요_비율,직접 잘 구워줘요_비율,현지 맛에 가까워요_비율,오래 머무르기 좋아요_비율,디저트가 맛있어요_비율,라이브공연이 훌륭해요_비율,코스요리가 알차요_비율,커피가 맛있어요_비율,빵이 맛있어요_비율,종류가 다양해요_비율,차가 맛있어요_비율,선물하기 좋아요_비율,주문제작을 잘해줘요_비율,포장이 깔끔해요_비율,반려동물과 가기 좋아요_비율,샐러드바가 잘 되어있어요_비율,아이와 가기 좋아요_비율,파티하기 좋아요_비율,룸이 잘 되어있어요_비율,깨끗해요_비율,조용히 쉬기 좋아요_비율,침구가 좋아요_비율,냉난방이 잘돼요_비율,화장실이 잘 되어있어요_비율,방음이 잘돼요_비율,즐길 거리가 많아요_비율,호캉스하기 좋아요_비율,근처에 갈 곳이 많아요_비율,벌레 걱정 없어요_비율,보안시설이 잘 되어있어요_비율,바비큐 해먹기 좋아요 _비율,온수가 잘 나와요_비율,어울려 놀기 좋아요_비율,공용시설 관리가 잘돼요_비율,전기 사용이 편해요_비율,취사시설이 잘 되어있어요_비율,마트 이용이 편해요_비율,도보거리_km,도보시간_분
801,가미우동,"우동,소바",서울특별시 마포구 서교동 346-31 1층 좌측 2호 ,193201.9814,450273.7664,,1967,1676,가께우동 | 와카메우동 | 츠키미우동 | 가마다마우동 | 붓가께우동,"6,500 | 7,000 | 7,000 | 8,000 | 7,000",0.334302326,0.110142119,0.074935401,0.084302326,0.110142119,0.057170543,0.034560724,0.137596899,0.012919897,0.001614987,0.006459948,0.004521964,0.002906977,0.006136951,0.00129199,,0.003552972,0.000322997,0.001937984,0.00129199,,0.000968992,0.000968992,0.000322997,0.006136951,,,,0.000322997,0.000322997,,,0.000645995,,,0.000322997,,,0.003875969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.059,14.0
802,가츠시,이자카야,서울특별시 마포구 서교동 464-40번지 ,192579.3734,450285.345,,906,351,소바정식 | 안심 돈까스 | 등심 돈까스 | 생선까스 | 모듬까스,"14,500 | 13,000 | 12,000 | 12,000 | 14,500",0.473876063,0.0036452,0.002430134,0.068043742,0.066828676,0.021871203,0.018226002,0.229647631,0.007290401,0.001215067,0.006075334,0.012150668,,0.0036452,,0.002430134,,0.001215067,0.009720535,0.004860267,,0.002430134,0.015795869,0.001215067,0.008505468,,,,0.007290401,,,0.013365735,,,0.008505468,,,,,0.009720535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.435,18.5
803,간바레미나상,이자카야,서울특별시 마포구 서교동 334-11,193502.3141,450268.3561,4.57,255,65,간바레 스키야키 | 곤이알탕 | 우삼겹해물나가사끼 | 치킨마라로제탕 | 모듬조개탕,"25,000 | 24,000 | 24,000 | 24,000 | 22,000",0.217252396,,0.009584665,0.051118211,0.084132055,0.003194888,0.031948882,0.02342918,0.121405751,0.003194888,0.019169329,0.014909478,0.006389776,0.006389776,0.002129925,0.104366347,0.002129925,0.001064963,0.004259851,0.005324814,,,0.094781683,0.002129925,0.001064963,,0.001064963,,0.021299255,,0.008519702,0.066027689,,,0.076677316,,0.007454739,,,0.007454739,,,0.001064963,,,,,,,,0.001064963,,,,,,,,,,,,,,,,,,,,,,,0.985,13.2
804,간바레미나상,이자카야,서울특별시 마포구 서교동 334-11,193502.3141,450268.3561,4.57,255,65,간바레 스키야키 | 곤이알탕 | 우삼겹해물나가사끼 | 치킨마라로제탕 | 모듬조개탕,"25,000 | 24,000 | 24,000 | 24,000 | 22,000",0.217252396,,0.009584665,0.051118211,0.084132055,0.003194888,0.031948882,0.02342918,0.121405751,0.003194888,0.019169329,0.014909478,0.006389776,0.006389776,0.002129925,0.104366347,0.002129925,0.001064963,0.004259851,0.005324814,,,0.094781683,0.002129925,0.001064963,,0.001064963,,0.021299255,,0.008519702,0.066027689,,,0.076677316,,0.007454739,,,0.007454739,,,0.001064963,,,,,,,,0.001064963,,,,,,,,,,,,,,,,,,,,,,,0.985,13.2
805,감성타코 홍대점,"멕시코,남미음식",서울특별시 마포구 서교동 358-121번지 ,193101.7423,450067.4562,,2095,2685,,,0.348338692,0.003215434,0.057877814,0.086102179,0.101464809,0.074312254,0.040014291,0.027152554,0.065380493,0.00035727,0.001071811,0.007145409,0.001786352,0.082886745,0.005001786,0.000714541,0.038942479,0.001786352,0.027509825,0.00821722,0.00035727,0.002500893,0.006788139,0.000714541,0.001071811,0.000714541,0.001071811,,,0.000714541,,,0.001071811,,0.000714541,0.002143623,0.001429082,,,0.001071811,,,,,,,,,,,,,,,0.00035727,,,,,,,,,,,,,,,,,,,0.981,13.3
806,감성화로 우메인 합정,소고기구이,서울특별시 마포구 서교동 474-27 ,192287.901,450480.4956,,127,101,A COURSE | B COURSE,"99,000 | 125,000",0.183333333,,0.015,0.04,0.098333333,0.043333333,0.023333333,0.021666667,0.118333333,0.001666667,0.01,0.02,0.015,0.01,,,0.036666667,0.021666667,0.008333333,0.001666667,0.003333333,0.011666667,,0.005,,,,,,0.001666667,,,,,,0.191666667,,0.06,,,,,0.055,,,,,,,,,,,,0.003333333,,,,,,,,,,,,,,,,,,,1.933,24.5
807,감술선생 홍대점,요리주점,서울특별시 마포구 서교동 396-58번지 ,192637.266,449633.1011,,112,51,,,0.194630872,,,0.040268456,0.140939597,,0.013422819,0.100671141,0.053691275,,0.006711409,,0.006711409,0.006711409,,0.073825503,,,0.046979866,0.006711409,,0.006711409,0.10738255,,,,,,0.040268456,,,0.073825503,,,0.060402685,,,,,0.020134228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.834,10.9
808,강강술래 홍대점,"육류,고기요리",서울특별시 마포구 서교동 369-10번지 재륜빌딩 ,192903.8064,450015.5142,4.36,1938,340,한우 꽃등심 | 왕양념갈비 | 술래양념구이 | 한돈양념구이 | 한우 모듬,"47,000 | 49,000 | 33,000 | 25,000 | 39,000",0.279472596,0.00672182,0.031540848,0.029989659,0.101861427,0.052998966,0.050672182,0.031540848,0.05196484,0.005687694,0.002585315,0.005687694,0.003619442,0.099276112,0.005429162,,0.012926577,0.001551189,0.057394002,0.005687694,0.012926577,0.006980352,,,,0.000258532,,,,0.003102378,,,,0.000258532,,0.115305067,,0.02352637,,,,,0.000258532,,,,,,,,,,,,0.000775595,,,,,,,,,,,,,,,,,,,0.998,12.8
809,강남 돼지상회 무한리필 홍대점,돼지고기구이,서울특별시 마포구 서교동 355-28번지 1층 101호,192962.7431,450158.5136,,2805,489,A 돼지모듬 무한리필 | B 돼지모듬+간장치킨 무한리필 | F 풀코스 무한리필,"17,900 | 19,900 | 23,900",0.218731988,0.007925072,0.036167147,0.03443804,0.07925072,0.137752161,0.027521614,0.151440922,0.016570605,0.000432277,0.000720461,0.007060519,0.000288184,0.104034582,0.004755043,,0.00389049,0.000144092,0.052881844,0.007060519,0.003602305,0.001729107,,0.000432277,0.002737752,0.000432277,,,,0.005619597,,,,0.000288184,,0.091498559,,0.00129683,,0.000864553,,,0.000288184,,,,,,,,,,0.000144092,,,,,,,,,,,,,,,,,,,,,1.115,15.2
810,강명수 아저씨네,음식점,서울특별시 마포구 서교동 325-22 ,193802.2662,450293.2306,,49,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.246,16.4
